Stock_Code,Date,Mean_Sentiment_Score
HDFCLIFE,12/8/2021,0.5994
HDFCLIFE,1/21/2022,0
HDFCLIFE,1/31/2022,0
HDFCLIFE,2/7/2022,0.4019
HDFCLIFE,2/14/2022,0.03095
HDFCLIFE,2/24/2022,0
HDFCLIFE,2/28/2022,0.4019
HDFCLIFE,3/2/2022,0.05295
HDFCLIFE,3/3/2022,0.26495
HDFCLIFE,3/30/2022,0.5994
HDFCLIFE,4/6/2022,0.4019
HDFCLIFE,4/18/2022,0.4019
HDFCLIFE,4/19/2022,0.4019
HDFCLIFE,4/28/2022,0.5994
HDFCLIFE,4/29/2022,0.4019
HDFCLIFE,5/25/2022,0.4019
HDFCLIFE,5/27/2022,0.5994
HDFCLIFE,6/1/2022,0.4019
HDFCLIFE,6/27/2022,0.5994
HDFCLIFE,6/29/2022,0.4019
HDFCLIFE,6/30/2022,0.4019
HDFCLIFE,7/5/2022,0.4019
HDFCLIFE,7/6/2022,0.5994
HDFCLIFE,7/8/2022,0.5994
HDFCLIFE,7/19/2022,0.5994
HEROMOTOCO,5/31/2022,0.4019
HEROMOTOCO,6/1/2022,0.3397
HEROMOTOCO,6/2/2022,0.64985
HEROMOTOCO,6/9/2022,0.5574
HEROMOTOCO,6/13/2022,0.6705
HEROMOTOCO,6/14/2022,0.5574
HEROMOTOCO,6/15/2022,0.5574
HEROMOTOCO,6/17/2022,0.52015
HEROMOTOCO,6/21/2022,0.59452
HEROMOTOCO,6/22/2022,0.4019
HEROMOTOCO,6/23/2022,0.58585
HEROMOTOCO,6/24/2022,0.6055
HEROMOTOCO,6/25/2022,0.2023
HEROMOTOCO,6/27/2022,0.5574
HEROMOTOCO,6/28/2022,0.7003
HEROMOTOCO,7/1/2022,0.5574
HEROMOTOCO,7/4/2022,0.2787
HEROMOTOCO,7/5/2022,0.9201
HEROMOTOCO,7/6/2022,0.62885
HEROMOTOCO,7/11/2022,0.5574
HEROMOTOCO,7/13/2022,0.7003
HEROMOTOCO,7/14/2022,0.4019
HEROMOTOCO,7/15/2022,0.5574
HEROMOTOCO,7/18/2022,0.5574
HEROMOTOCO,7/24/2022,0.5574
HEROMOTOCO,7/26/2022,0.5574
HEROMOTOCO,7/27/2022,0.5574
HEROMOTOCO,7/29/2022,0.5574
HINDALCO,4/12/2022,0.4019
HINDALCO,4/21/2022,0.2263
HINDALCO,4/22/2022,0.4117
HINDALCO,4/25/2022,-0.5859
HINDALCO,4/28/2022,0.5994
HINDALCO,5/2/2022,0.1531
HINDALCO,5/4/2022,0.4019
HINDALCO,5/12/2022,0
HINDALCO,5/13/2022,0.20095
HINDALCO,5/17/2022,0.5994
HINDALCO,5/23/2022,0
HINDALCO,5/26/2022,0
HINDALCO,5/27/2022,0.306966667
HINDALCO,6/1/2022,0
HINDALCO,6/3/2022,0
HINDALCO,6/10/2022,-0.2588
HINDALCO,6/16/2022,0.34895
HINDALCO,6/19/2022,-0.6249
HINDALCO,6/20/2022,0
HINDALCO,6/21/2022,0.2997
HINDALCO,6/22/2022,0.20095
HINDALCO,6/23/2022,0
HINDALCO,6/28/2022,0.5994
HINDALCO,6/30/2022,0.32985
HINDALCO,7/4/2022,-0.5267
HINDALCO,7/5/2022,0.20095
HINDALCO,7/6/2022,0.5994
HINDALCO,7/7/2022,0.5994
HINDALCO,7/12/2022,0.4019
HINDALCO,7/18/2022,0.5994
HINDALCO,7/20/2022,0
HINDALCO,7/21/2022,0
HINDALCO,7/29/2022,0
HINDALCO,7/31/2022,0
HINDALCO,8/4/2022,0.2023
HINDALCO,8/5/2022,-0.3182
HINDUNILVR,6/20/2022,0
HINDUNILVR,6/24/2022,0.2787
HINDUNILVR,7/4/2022,0
HINDUNILVR,7/5/2022,0
HINDUNILVR,7/11/2022,0
HINDUNILVR,7/13/2022,0.4019
HINDUNILVR,7/16/2022,0.4404
HINDUNILVR,7/18/2022,0.4019
HINDUNILVR,7/19/2022,0
HINDUNILVR,7/20/2022,0
HINDUNILVR,7/21/2022,0.2263
HINDUNILVR,7/22/2022,0
HINDUNILVR,7/24/2022,0.164633333
HINDUNILVR,7/25/2022,0
HINDUNILVR,7/27/2022,0
HINDUNILVR,7/29/2022,0.2202
HINDUNILVR,7/30/2022,0
HINDUNILVR,7/31/2022,0.11315
HINDUNILVR,8/1/2022,0.5511
HINDUNILVR,8/2/2022,0
HINDUNILVR,8/5/2022,0
HINDUNILVR,8/8/2022,0
ICICIBANK,7/22/2022,0.512033333
ICICIBANK,7/23/2022,0.467407143
ICICIBANK,7/24/2022,0.17572
ICICIBANK,7/25/2022,0.0704
ICICIBANK,7/26/2022,0
ICICIBANK,7/28/2022,0.4019
ICICIBANK,7/31/2022,0.2294
ICICIBANK,8/1/2022,0
ICICIBANK,8/2/2022,0.2023
ICICIBANK,8/3/2022,0.1909
