Date,stock_code,Sentiment_Score
7/27/2022,TITAN,0
7/27/2022,TITAN,0
7/27/2022,TITAN,0
7/27/2022,TITAN,0
7/27/2022,TITAN,0
7/27/2022,TITAN,0.25
7/27/2022,TITAN,0
7/27/2022,TITAN,0
7/27/2022,TITAN,-0.3
7/27/2022,TITAN,0.75
7/27/2022,TITAN,0
7/27/2022,TITAN,0
7/27/2022,TITAN,0
7/27/2022,TITAN,0.068181818
7/27/2022,TITAN,-0.3
7/27/2022,TITAN,0
7/27/2022,TITAN,0
7/27/2022,TITAN,0.05
7/27/2022,TITAN,0.35
7/27/2022,TITAN,0
7/27/2022,TITAN,0.025
7/27/2022,TITAN,-0.1
7/27/2022,TITAN,0.08
7/27/2022,ULTRACEMCO,0.015625
7/27/2022,ULTRACEMCO,0
7/27/2022,ULTRACEMCO,0.4625
7/27/2022,ULTRACEMCO,0.015625
7/27/2022,ULTRACEMCO,0
7/27/2022,ULTRACEMCO,0.35
7/27/2022,UPL,0
7/27/2022,UPL,0
7/27/2022,UPL,0.15
7/27/2022,UPL,0.153333333
7/27/2022,UPL,0.153333333
7/27/2022,UPL,0.015625
7/27/2022,UPL,0
7/27/2022,UPL,0.08
7/27/2022,UPL,0.15
7/27/2022,UPL,0.165151515
7/27/2022,WIPRO,0.253125
7/27/2022,WIPRO,-1
7/27/2022,WIPRO,-0.7
7/27/2022,WIPRO,-0.046875
7/27/2022,WIPRO,0.4
7/27/2022,WIPRO,0.4
7/27/2022,WIPRO,0.08
7/27/2022,WIPRO,0.015625
7/27/2022,WIPRO,0
7/27/2022,WIPRO,0
7/27/2022,WIPRO,0
7/27/2022,WIPRO,0
7/27/2022,WIPRO,-0.16875
7/27/2022,WIPRO,0
7/27/2022,WIPRO,-0.16875
7/27/2022,WIPRO,0
7/27/2022,WIPRO,-0.1
7/27/2022,WIPRO,0
7/27/2022,WIPRO,0
7/27/2022,WIPRO,-0.1
7/27/2022,WIPRO,0
7/27/2022,WIPRO,0.225
7/27/2022,WIPRO,-0.517460317
7/27/2022,WIPRO,0.136363636
7/27/2022,WIPRO,0.136363636
7/27/2022,WIPRO,0
7/27/2022,WIPRO,-0.16875
7/27/2022,WIPRO,0
7/28/2022,ADANIPORTS,0.08
7/28/2022,ADANIPORTS,0.1
7/28/2022,ADANIPORTS,0
7/28/2022,ADANIPORTS,0
7/28/2022,ADANIPORTS,0.033333333
7/28/2022,ADANIPORTS,0.033333333
7/28/2022,ADANIPORTS,0.08
7/28/2022,ADANIPORTS,0
7/28/2022,ADANIPORTS,0.032
7/28/2022,ADANIPORTS,0.032
7/28/2022,ADANIPORTS,0.022857143
7/28/2022,ADANIPORTS,0.022857143
7/28/2022,APOLLOHOSP,0.08
7/28/2022,APOLLOHOSP,0.1
7/28/2022,APOLLOHOSP,0.033333333
7/28/2022,APOLLOHOSP,0
7/28/2022,APOLLOHOSP,0.08
7/28/2022,APOLLOHOSP,0.033333333
7/28/2022,APOLLOHOSP,0.032
7/27/2022,APOLLOHOSP,0.08
7/27/2022,APOLLOHOSP,0.033333333
7/27/2022,APOLLOHOSP,0.032
7/27/2022,APOLLOHOSP,0.032
7/28/2022,ASIANPAINT,0.08
7/28/2022,ASIANPAINT,0.015625
7/28/2022,ASIANPAINT,0.233333333
7/28/2022,ASIANPAINT,0.233333333
7/28/2022,ASIANPAINT,0.233333333
7/28/2022,ASIANPAINT,0.1
7/28/2022,ASIANPAINT,0
7/28/2022,ASIANPAINT,0.015625
7/28/2022,ASIANPAINT,0
7/28/2022,ASIANPAINT,0.08
7/28/2022,ASIANPAINT,0.233333333
7/28/2022,ASIANPAINT,0.233333333
7/28/2022,ASIANPAINT,0
7/28/2022,ASIANPAINT,0.233333333
7/28/2022,ASIANPAINT,0.233333333
7/28/2022,ASIANPAINT,0
7/28/2022,ASIANPAINT,0.032
7/27/2022,ASIANPAINT,0
7/27/2022,ASIANPAINT,0.015625
7/27/2022,ASIANPAINT,0.032
7/27/2022,ASIANPAINT,0.032
7/28/2022,AXISBANK,0.015625
7/28/2022,AXISBANK,0.015625
7/28/2022,AXISBANK,0.015625
7/28/2022,AXISBANK,0.1
7/28/2022,AXISBANK,0.333333333
7/28/2022,AXISBANK,0.08
7/28/2022,AXISBANK,0
7/28/2022,AXISBANK,0.328571429
7/28/2022,AXISBANK,0.033333333
7/28/2022,AXISBANK,0
7/28/2022,AXISBANK,0.015625
7/28/2022,AXISBANK,0.08
7/28/2022,AXISBANK,0.022857143
7/28/2022,AXISBANK,0.033333333
7/28/2022,AXISBANK,0.032
7/28/2022,AXISBANK,0
7/27/2022,AXISBANK,0.1
7/27/2022,AXISBANK,0.1
7/27/2022,AXISBANK,0.033333333
7/27/2022,AXISBANK,0.032
